,0
person_id,0
age,0
sex,0
region,0
urban_rural,0
income,0
education,0
marital_status,0
employment_status,0
household_size,0
dependents,0
bmi,0
smoker,0
alcohol_freq,30083
visits_last_year,0
hospitalizations_last_3yrs,0
days_hospitalized_last_3yrs,0
medication_count,0
systolic_bp,0
diastolic_bp,0
ldl,0
hba1c,0
plan_type,0
network_tier,0
deductible,0
copay,0
policy_term_years,0
policy_changes_last_2yrs,0
provider_quality,0
risk_score,0
annual_medical_cost,0
annual_premium,0
monthly_premium,0
claims_count,0
avg_claim_amount,0
total_claims_paid,0
chronic_count,0
hypertension,0
diabetes,0
asthma,0
copd,0
cardiovascular_disease,0
cancer_history,0
kidney_disease,0
liver_disease,0
arthritis,0
mental_health,0
proc_imaging_count,0
proc_surgery_count,0
proc_physio_count,0
proc_consult_count,0
proc_lab_count,0
is_high_risk,0
had_major_procedure,0
